CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,
Data S3: Bootstrapping Results, see Data S4 for details,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mean,2.5,97.5,power,p-value,m,class,studytype,plottype,element,c3c4,tissue,Family,Genus,Common Name,Species,Cultivar,2.50%,mean%,97.50%
-0.1613,-0.1918,-0.1317,0.0703,0,18,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-17.4528,-14.8963,-12.3396
-0.1612,-0.1915,-0.1313,0.0665,0,18,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N proxy,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-17.428,-14.8878,-12.3045
-0.0633,-0.0857,-0.0421,0.067,0,18,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,P,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-8.213,-6.1338,-4.1226
-0.1733,-0.2224,-0.1243,0.0624,0,18,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Zn,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-19.9405,-15.9115,-11.6885
0.0876,0.0463,0.1294,0.0359,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,B,C4,seed,Poaceae,Zea,,mays,Cv34B43,4.7389,9.1551,13.8145
-0.0961,-0.2449,0.0547,0.0369,0.2929,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Ca,C4,seed,Poaceae,Zea,,mays,Cv34B43,-21.7217,-9.1627,5.6224
-0.0643,-0.1355,0.0079,0.0365,0.0698,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Cu,C4,seed,Poaceae,Zea,,mays,Cv34B43,-12.6721,-6.2276,0.7931
-0.0454,-0.0706,-0.0203,0.0405,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Fe,C4,seed,Poaceae,Zea,,mays,Cv34B43,-6.8165,-4.4385,-2.0095
-0.0299,-0.0338,-0.026,0.041,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,K,C4,seed,Poaceae,Zea,,mays,Cv34B43,-3.3235,-2.9457,-2.5665
-0.1056,-0.109,-0.1022,0.0411,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Mg,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.327,-10.0216,-9.7151
-0.0972,-0.147,-0.0473,0.0418,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Mn,C4,seed,Poaceae,Zea,,mays,Cv34B43,-13.6706,-9.2625,-4.6199
-0.031,-0.1139,0.051,0.0408,0.294,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.7653,-3.0524,5.2323
-0.0315,-0.1139,0.051,0.0417,0.2966,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N proxy,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.7653,-3.1009,5.2323
-0.0998,-0.1108,-0.0888,0.0362,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,P,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.4882,-9.4982,-8.4971
-0.1086,-0.2283,0.0118,0.0388,0.0689,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Phyt,C4,seed,Poaceae,Zea,,mays,Cv34B43,-20.4115,-10.2911,1.187
0.0346,-0.007,0.0761,0.0412,0.0722,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,S,C4,seed,Poaceae,Zea,,mays,Cv34B43,-0.6976,3.5206,7.907
-0.114,-0.1358,-0.0922,0.0439,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Zn,C4,seed,Poaceae,Zea,,mays,Cv34B43,-12.6983,-10.7742,-8.8077
0.0217,-0.0093,0.0525,0.0406,0.0721,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,B,C4,seed,Poaceae,Zea,,mays,DKC61-19,-0.9257,2.1937,5.3903
0.0349,0.0087,0.0609,0.0387,0.003,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Ca,C4,seed,Poaceae,Zea,,mays,DKC61-19,0.8738,3.5516,6.2793
-0.1689,-0.2618,-0.0778,0.0384,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Cu,C4,seed,Poaceae,Zea,,mays,DKC61-19,-23.0335,-15.5407,-7.4851
-0.0894,-0.1382,-0.0408,0.0411,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Fe,C4,seed,Poaceae,Zea,,mays,DKC61-19,-12.9076,-8.552,-3.9979
-0.0319,-0.0349,-0.0289,0.0384,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,K,C4,seed,Poaceae,Zea,,mays,DKC61-19,-3.4298,-3.1397,-2.8486
-0.0281,-0.0537,-0.0026,0.0399,0.0072,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Mg,C4,seed,Poaceae,Zea,,mays,DKC61-19,-5.2284,-2.7709,-0.2597
-0.0753,-0.1226,-0.0284,0.0408,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N,C4,seed,Poaceae,Zea,,mays,DKC61-19,-11.5383,-7.2535,-2.8001
-0.0754,-0.1226,-0.0284,0.0398,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,N proxy,C4,seed,Poaceae,Zea,,mays,DKC61-19,-11.5383,-7.2628,-2.8001
-0.0664,-0.0732,-0.0597,0.0388,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,P,C4,seed,Poaceae,Zea,,mays,DKC61-19,-7.0585,-6.4244,-5.7953
-0.0314,-0.0387,-0.0241,0.0413,0,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Phyt,C4,seed,Poaceae,Zea,,mays,DKC61-19,-3.7961,-3.0912,-2.3812
0.014,-0.0052,0.0336,0.0413,0.0757,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,S,C4,seed,Poaceae,Zea,,mays,DKC61-19,-0.5187,1.4098,3.4171
-0.0081,-0.0275,0.0113,0.041,0.2885,8,c3c4+Family+Genus+Species+Cultivar+element+Tissue,,,Zn,C4,seed,Poaceae,Zea,,mays,DKC61-19,-2.7125,-0.8067,1.1364
0.0283,-0.0127,0.067,0.0671,0.1798,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,BG,Amaranthaceae,Beta,,vulgaris,Impuls,-1.262,2.8704,6.9295
-0.1501,-0.2523,-0.0639,0.0571,0.0013,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,BG,Amaranthaceae,Beta,,vulgaris,Impuls,-22.2988,-13.9378,-6.1901
0.0633,0.015,0.11,0.2594,0,2,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,BG,Amaranthaceae,Beta,,vulgaris,Wiebke,1.5113,6.5346,11.6278
-0.2755,-0.2957,-0.2551,0.2457,0,2,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,BG,Amaranthaceae,Beta,,vulgaris,Wiebke,-25.5989,-24.0808,-22.5161
0.1376,0.126,0.149,0.0636,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,B,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,13.4282,14.7516,16.0673
-0.0105,-0.016,-0.005,0.0625,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,C,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-1.5873,-1.0445,-0.4988
-0.0655,-0.0735,-0.0581,0.0659,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-7.0864,-6.3401,-5.6444
0.1894,0.1417,0.2402,0.0689,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Cu,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,15.2231,20.8524,27.1503
-0.3072,-0.3415,-0.2729,0.043,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-28.9297,-26.4497,-23.8831
-0.0234,-0.0278,-0.0187,0.054,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.7417,-2.3128,-1.8526
-0.1284,-0.1422,-0.1147,0.0673,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-13.2552,-12.0498,-10.8366
0.0476,-0.0552,0.1471,0.0508,0.419,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-5.3704,4.8751,15.847
-0.0144,-0.0225,-0.007,0.0662,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.2249,-1.4297,-0.6976
-0.0144,-0.0222,-0.007,0.0676,0.0001,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.1955,-1.4297,-0.6976
-0.1449,-0.1913,-0.0967,0.0714,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-17.4115,-13.4891,-9.2172
-0.0355,-0.0473,-0.0238,0.0487,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-4.6199,-3.4877,-2.3519
-0.0269,-0.0456,-0.008,0.0484,0.0033,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-4.4576,-2.6541,-0.7968
0.0011,-0.0039,0.0062,0.0628,0.626,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,C,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-0.3892,0.1101,0.6219
0.0052,0.0042,0.0062,0.0612,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,0.4209,0.5214,0.6219
0.631,0.4445,0.819,0.0618,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,55.971,87.9489,126.823
-0.0445,-0.0513,-0.0376,0.062,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-5.0006,-4.3524,-3.6902
0.0071,-0.017,0.0312,0.0647,0.6233,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-1.6856,0.7125,3.1692
-0.0626,-0.0804,-0.0443,0.0593,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-7.7253,-6.0681,-4.3333
-0.0624,-0.0804,-0.0443,0.0602,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-7.7253,-6.0493,-4.3333
-0.0339,-0.0442,-0.0236,0.0613,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-4.3237,-3.3332,-2.3324
0.0339,0.0037,0.0659,0.052,0.0253,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,B,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,0.3707,3.4481,6.812
-0.0021,-0.006,0.0021,0.0518,0.2972,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,C,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-0.5982,-0.2098,0.2102
0.0349,0.0175,0.0524,0.0648,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,1.7654,3.5516,5.3797
0.0901,0.0771,0.1031,0.0449,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Cu,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,8.015,9.4284,10.8602
-0.1582,-0.2043,-0.1119,0.0643,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-18.4782,-14.6321,-10.5866
0.0411,0.0351,0.0469,0.0455,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,3.5723,4.1956,4.8017
-0.0537,-0.0721,-0.0364,0.0644,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-6.9562,-5.2284,-3.5745
0.0342,-0.0301,0.097,0.0567,0.2603,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-2.9652,3.4792,10.186
-0.0056,-0.0108,-0.0004,0.0489,0.0232,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-1.0742,-0.5584,-0.04
-0.0056,-0.0108,-0.0004,0.0469,0.0201,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-1.0742,-0.5584,-0.04
-0.1768,-0.2037,-0.1484,0.0694,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-18.4293,-16.2053,-13.7914
-0.0104,-0.0146,-0.0057,0.0588,0,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,-1.4494,-1.0346,-0.5684
0.0427,0.0079,0.08,0.052,0.02,18,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,AG,Asteraceae,Lactuca,,sativa,Oak Leaf,0.7931,4.3625,8.3287
-0.0087,-0.0108,-0.0061,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,B,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-1.0742,-0.8662,-0.6081
-0.0198,-0.0284,-0.0122,1,0.0001,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-2.8001,-1.9605,-1.2126
0.0046,-0.0067,0.0158,1,0.4168,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Cu,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-0.6678,0.4611,1.5925
-0.0544,-0.0974,-0.011,0.6078,0.0136,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-9.2807,-5.2947,-1.094
-0.0289,-0.0336,-0.0239,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-3.3042,-2.8486,-2.3617
0.0087,0.0063,0.0111,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Rex,0.632,0.8738,1.1162
-0.0031,-0.0138,0.0075,1,0.5638,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-1.3705,-0.3095,0.7528
-0.0507,-0.0591,-0.042,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-5.7387,-4.9436,-4.113
-0.0506,-0.0592,-0.0422,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-5.7482,-4.9341,-4.1322
-0.0172,-0.0219,-0.0128,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-2.1662,-1.7053,-1.2718
-0.0469,-0.0558,-0.0375,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,S,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-5.4272,-4.5817,-3.6806
-0.0403,-0.0501,-0.0309,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,AG,Asteraceae,Lactuca,,sativa,Rex,-4.8866,-3.9499,-3.0427
-0.0158,-0.0166,-0.0151,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,B,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-1.6463,-1.5676,-1.4987
0.016,0.0117,0.0199,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,1.1769,1.6129,2.0099
-0.0059,-0.0122,0.0002,1,0.0655,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Cu,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-1.2126,-0.5883,0.02
-0.043,-0.0459,-0.0403,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-4.4863,-4.2089,-3.9499
-0.011,-0.0131,-0.009,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-1.3015,-1.094,-0.896
0.0477,0.0389,0.0567,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,3.9667,4.8856,5.8338
-0.0362,-0.0408,-0.0316,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-3.9979,-3.5553,-3.1106
-0.0463,-0.0511,-0.0417,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-4.9816,-4.5245,-4.0843
-0.0463,-0.0511,-0.0416,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-4.9816,-4.5245,-4.0747
0.0043,-0.0038,0.0129,1,0.3079,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-0.3793,0.4309,1.2984
0.0511,0.0387,0.0645,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,S,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,3.9459,5.2428,6.6626
-0.0187,-0.0196,-0.0179,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,AG,Asteraceae,Lactuca,,sativa,Rouxai,-1.9409,-1.8526,-1.7741
-0.2123,-0.3929,-0.0297,0.0346,0.0061,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,C,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-32.4904,-19.1278,-2.9263
-0.0999,-0.1093,-0.0905,0.0403,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-10.3539,-9.5072,-8.6526
-0.0408,-0.0417,-0.04,0.0373,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-4.0843,-3.9979,-3.9211
-0.1218,-0.1239,-0.1197,0.0397,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-11.6532,-11.4675,-11.2813
-0.0659,-0.069,-0.0628,0.0391,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-6.6673,-6.3776,-6.0869
-0.0659,-0.069,-0.0628,0.0428,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-6.6673,-6.3776,-6.0869
-0.0774,-0.0808,-0.074,0.0411,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-7.7622,-7.448,-7.1328
-0.1228,-0.1675,-0.0788,0.0426,0,8,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,S,C3,BG,Brassicaceae,Raphanus,,sativus,Cherry Belle,-15.4223,-11.5559,-7.5775
0.0493,-0.0046,0.1048,0.0787,0.1016,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-0.4589,5.0535,11.0488
-0.0333,-0.0507,-0.0149,0.039,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Cu,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-4.9436,-3.2752,-1.479
-0.0685,-0.082,-0.0505,0.0376,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-7.8728,-6.6207,-4.9246
0.0068,-0.0139,0.028,0.0823,0.5112,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-1.3804,0.6823,2.8396
0.0228,-0.0002,0.0458,0.0546,0.071,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-0.02,2.3062,4.6865
0.0057,-0.021,0.0284,0.0772,0.6184,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-2.0781,0.5716,2.8807
-0.0749,-0.0994,-0.0506,0.0743,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mo,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-9.462,-7.2164,-4.9341
-0.0503,-0.0672,-0.0334,0.0406,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-6.4992,-4.9056,-3.2848
-0.0504,-0.0672,-0.0334,0.0401,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-6.4992,-4.9151,-3.2848
0.0153,0.0064,0.0246,0.0785,0,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,0.6421,1.5418,2.4905
-0.0017,-0.0164,0.013,0.0774,0.8309,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-1.6266,-0.1699,1.3085
-0.0074,-0.028,0.0134,0.0715,0.376,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,S,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-2.7612,-0.7373,1.349
0.0132,-0.0498,0.0761,0.0836,0.6242,4,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinmei 3,-4.858,1.3288,7.907
0.357,0.0211,1.0361,0.0337,0.0337,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,2.1324,42.9036,181.8205
-0.0793,-0.1469,-0.0073,0.0329,0,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Fe,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-13.662,-7.6237,-0.7273
0.0354,-0.034,0.1617,0.0373,0.5566,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,K,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-3.3428,3.6034,17.5508
0.0631,-0.0271,0.2364,0.0394,0.5511,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mg,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-2.6736,6.5133,26.6681
-0.0057,-0.0437,0.0167,0.1425,0.5483,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Mn,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-4.2759,-0.5684,1.684
-0.0491,-0.0575,-0.0407,0.2484,0,2,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,N proxy,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-5.5878,-4.7914,-3.9883
-0.0209,-0.0647,0.0484,0.0367,0.5577,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Na,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-6.2651,-2.0683,4.959
0.0495,-0.0157,0.1766,0.0354,0.5546,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,P,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-1.5577,5.0746,19.3154
-0.0074,-0.0111,-0.0032,0.0372,0,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,S,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-1.1039,-0.7373,-0.3195
-0.0889,-0.1641,-0.0369,0.0383,0,3,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Zn,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-15.1343,-8.5063,-3.6227
-0.0491,-0.0575,-0.0407,0.2531,0,2,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,protein,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Jinyou 38,-5.5878,-4.7914,-3.9883
-0.0504,-0.0519,-0.0489,0.0926,0,12,c3c4+Family+Genus+Species+Cultivar+element+tissueAgg,,,Ca,C3,reproductive,Cucurbitaceae,Cucumis,,sativus,Marumba,-5.0576,-4.9151,-4.7724
